Species.name,BodyMass.g,LitSz,MaxLifepsan.m,HabitatBreadth,AdultHeadBodyLen.mm,DietBreadth,GestLen.d,WeanAge.d
Poiana richardsonii,570.08,2.23,64,1,378.86,6,NA,NA
Potos flavus,2441.81,1.11,348,2,509.54,4,116.8,109.13
Prionailurus bengalensis,2780.97,2.5,180,1,683.23,1,70.18,24.85
Prionailurus planiceps,3533.76,3,14,1,467.4,2,56,NA
Prionailurus rubiginosus,1418.75,2.23,192,1,405.99,1,66.9,NA
Prionailurus viverrinus,8826.46,2,120,1,777.67,1,71.43,135.96
Prionodon linsang,684.83,2.3,128.4,1,399.17,6,NA,NA
Prionodon pardicolor,1142.68,2,128,1,353.19,6,NA,NA
Procyon cancrivorus,6931.72,2.62,168,2,602.86,6,69.35,111.36
Procyon lotor,6373.72,3.06,252,2,484.68,6,65,104.16
Procyon pygmaeus,2958.03,7,NA,1,427.1,3,66.5,NA
Pseudalopex culpaeus,8616.24,4.88,132,1,720.34,2,58.72,48.22
Pseudalopex fulvipes,2720,2.5,84,1,NA,NA,NA,NA
Pseudalopex griseus,8279.99,4.17,130.8,1,NA,NA,55.5,NA
Pseudalopex gymnocercus,4542.67,3.09,164.4,1,619.15,7,59.23,75
Pseudalopex sechurae,4234,118.8,118.8,1,558.91,7,NA,NA
Pseudalopex vetulus,4233.47,3,151.2,1,600.05,6,60,NA
Pteronura brasiliensis,26000,2.12,154,2,1137.99,1,70,120.48
Puma concolor,53954.05,2.76,240,1,1396.33,1,92.3,48.46
Puma yagouaroundi,6875,2.5,127.83,1,701.35,3,75.01,NA
Pusa caspica,62326.2,1,600,2,1405.5,2,334.58,31.32
Pusa hispida,81200,1,552,2,1287.15,6,270,45.23
Pusa sibirica,85000,1,672,2,1272.95,1,277.63,66.11
Rhynchogale melleri,2240.33,2,NA,1,459.59,6,NA,NA
Salanoia concolor,711.49,NA,57.6,1,296.21,3,NA,NA
Speothos venaticus,6324.54,3.8,124,1,624.73,1,67.78,127.3
Spilogale angustifrons,500,4,72,1,NA,NA,42,NA
Spilogale gracilis,551.5,4,120,1,NA,NA,220,NA
Spilogale putorius,566.49,5.07,120,1,299.49,6,32.99,55.68
Spilogale pygmaea,365,4,118,1,NA,6,47.22,NA
Suricata suricatta,729.99,3.86,150,1,285.71,1,77,55.68
Taxidea taxus,7842.15,2.76,312,1,558.35,1,43.8,41.99
Tremarctos ornatus,123176.97,1.44,437,1,1766.58,5,215,173.44
Urocyon cinereoargenteus,3833.71,3.71,180,1,601.7,6,61.48,63.79
Urocyon littoralis,1923,2.17,96,1,471.23,6,53.7,60
Ursus americanus,110500,2.39,384,1,1380.87,1,213.95,167.99
Ursus arctos,196287.5,2.24,600,1,1484.07,6,227.56,182.5
Ursus maritimus,3.00E+05,1.66,458.4,1,1992.55,3,64.66,205.17
Ursus thibetanus,99714.19,1.5,422,1,1505.7,3,199.92,82.01
Viverra civettina,12061.27,NA,184.8,1,843.04,6,NA,NA
Viverra megaspila,9250,NA,NA,NA,NA,NA,NA,NA
Viverra tangalunga,7349.99,1.92,144,1,655.78,6,NA,NA
Viverra zibetha,9148.77,2.89,240,1,816.76,6,80.3,30
Viverricula indica,2918.88,3.74,126,3,539.19,6,NA,127.5
Vormela peregusna,594.13,5.07,107,1,319.52,1,60.83,30
Vulpes bengalensis,2514.4,3.49,120,1,521.66,6,52.33,22.5
Vulpes cana,988.5,2,120,1,425.92,6,57.35,44.74
Vulpes chama,2919.8,2.5,120,1,532.2,6,52.59,120
Vulpes corsac,2615.33,5.62,156,1,578.27,6,54.99,54.56
Vulpes ferrilata,5543.74,3.49,120,1,600.05,1,54.23,55.68
Vulpes macrotis,4499.97,4.5,240,2,NA,NA,51.9,60
Vulpes pallida,2800.01,4,120,1,429.21,6,51.9,48
Vulpes rueppellii,3249.97,2.12,108,1,458.63,1,52.5,48
Vulpes velox,2088,4.25,240,1,503.79,1,53.7,47.08
Vulpes vulpes,4820.36,4.59,180,1,627.12,1,52.5,50.71
Vulpes zerda,1317.13,2.36,175,1,374.23,6,51,65.56
Zalophus californianus,87000,1.41,360,2,2018.97,6,349.99,319.01
Zalophus wollebaeki,125000,1,240,2,NA,NA,330,345
