Species_Name,X1.1_ActivityCycle,X5.1_AdultBodyMass_g,X8.1_AdultForearmLen_mm,X13.1_AdultHeadBodyLen_mm,X2.1_AgeatEyeOpening_d,X3.1_AgeatFirstBirth_d,X18.1_BasalMetRate_mLO2hr,X5.2_BasalMetRateMass_g,X6.1_DietBreadth,X7.1_DispersalAge_d,X9.1_GestationLen_d,X12.1_HabitatBreadth,X22.1_HomeRange_km2,X22.2_HomeRange_Indiv_km2,X14.1_InterbirthInterval_d,X15.1_LitterSize,X16.1_LittersPerYear,X17.1_MaxLongevity_m,X5.3_NeonateBodyMass_g,X13.2_NeonateHeadBodyLen_mm,X21.1_PopulationDensity_n.km2,X10.1_PopulationGrpSize,X23.1_SexualMaturityAge_d,X10.2_SocialGrpSize,X24.1_TeatNumber,X25.1_WeaningAge_d,X5.4_WeaningBodyMass_g,X13.3_WeaningHeadBodyLen_mm,X5.5_AdultBodyMass_g_EXT,X16.2_LittersPerYear_EXT,X5.6_NeonateBodyMass_g_EXT,X5.7_WeaningBodyMass_g_EXT,X26.1_GR_Area_km2,X26.2_GR_MaxLat_dd,X26.3_GR_MinLat_dd,X26.4_GR_MidRangeLat_dd,X26.5_GR_MaxLong_dd,X26.6_GR_MinLong_dd,X26.7_GR_MidRangeLong_dd,X27.1_HuPopDen_Min_n.km2,X27.2_HuPopDen_Mean_n.km2,X27.3_HuPopDen_5p_n.km2,X27.4_HuPopDen_Change,X28.1_Precip_Mean_mm,X28.2_Temp_Mean_01degC,X30.1_AET_Mean_mm,X30.2_PET_Mean_mm,USA_Endangered,Extinct,IUCN_LISTED
Microcebus berthae,1.16,33.45,62.2777,114.0928,17.3928,382.2137,58.7446,63.8703,2.25,102.0966,60.4006,1.39,0.090820634,0.038591735,216.5508,2.3261,1.5249,68.0204,6.809786,40.7634,1288.7841,86.826,318.476,1.665,4.84,47.6702,18.6723,95.8019,108.3261,1.865,4533.9215,183.4163,236.07,-19.99,-20.15,-20.07,44.75,44.59,44.67,6,8.49,6,0.21,78.01,247.5,910.05,1572,0,0,1
Microcebus griseorufus,1.19,70.24,67.6377,133.534,16.8232,372.6408,88.2838,96.2828,2.37,110.7215,62.0528,1.43,0.070445418,0.033378323,211.6194,2.4746,1.6629,66.8756,7.1161,49.3862,1706.9864,61.5614,297.6082,1.315,4.73,43.3744,44.1524,105.3027,100.1637,1.7029,4530.1902,93.3538,17072.63,-22.17,-23.71,-22.94,44.72,43.23,43.97,5,17.13,5,0.19,49.9,238.8,693.4,1668.06,0,0,0
Microcebus murinus,1,69,95.6112,143.61,18.8339,380.2,125.84,101.05,5,194.7748,60.34,1,0.01,0.01,365,2,1.2526,186,4.78,43.08,461,3.5,355.53,1,5.38,40.45,71.872,130.5171,2478.901,1.1,9062.7714,1346.5312,122051.83,-12.33,-25.58,-18.95,49.6,43.22,46.41,2,12.01,3,0.19,85.12,240.86,897.1,1624.72,0,0,0
Microcebus myoxinus,1,31.23,65.6463,141.42,16.0075,319.1999,71.2649,68.7135,4,109.8938,59.99,1,0.069670978,0.032703621,159.0383,2,1.8424,67.868,5.837086,45.1258,1262.267,30.6735,251.724,1,5.07,45.2309,24.8008,106.4336,138.7646,2.0306,4532.4092,1268.1389,2721.78,-19.81,-20.36,-20.08,45.12,44.56,44.84,6,7.74,6,0.18,82.26,247.5,930.04,1565.99,0,0,0
Microcebus ravelobensis,1.35,58.6,59.3288,119.3347,12.9313,433.8379,84.4155,3732.0455,1.36,150.6341,108.0821,1.03,0.44827314,0.877287562,281.704,1.3241,1.1155,106.6252,12.6791,57.568,2435.4296,83.9987,333.8671,1.493,4.77,65.6283,101.7012,131.0348,93.6221,1.6441,4535.4348,259.9446,1362.43,-16.1,-16.5,-16.3,47.14,46.71,46.92,17,21.33,17,0.16,129.99,267.32,932.95,1602.66,0,0,0
Microcebus rufus,1,48.39,79.6541,143.61,20.4585,413.1712,98.1367,95.7388,5,171.0219,59.99,1,0.01,0.01,281.1263,2.52,1.2065,144,6.5,48.4961,167.8,3.25,361.646,1,5.03,40,42.7457,117.3777,319.0211,1.461,4541.4869,1307.4001,105086.84,-13.46,-25.19,-19.32,50.46,46.58,48.52,5,37.74,8,0.18,171.44,199.61,1319.63,1595.19,0,0,0
Microcebus sambiranensis,1.25,49.06,61.4183,113.5315,12.6829,410.0435,58.7403,70.9515,1.32,147.2215,99.2186,1.04,0.11975306,0.038907043,285.4933,1.4488,1.138,93.4964,9.401943,47.3635,1885.2484,79.3454,331.1834,1.228,4.5,62.4203,36.1717,92.0593,36.4421,1.7219,4531.8572,235.1772,134.75,-13.99,-14.11,-14.05,48.33,48.21,48.27,8,15.5,8,0.14,146.5,234,1103.06,1808.72,0,0,1
Microcebus tavaratra,1.34,68.01,60.5497,123.6239,12.6439,424.6332,128.3784,3753.1225,1.34,150.3015,101.045,1,0.4358573,0.43845285,281.6807,1.291,1.12,96.2388,12.7868,56.1477,1932.6675,292.4232,334.231,1.168,4.53,65.0669,100.0825,133.5336,48.1648,1.6251,4535.377,264.5364,198.5,-12.99,-13.14,-13.06,49.13,48.98,49.06,14,20.66,14,0.16,105.98,246.99,1215,1527,0,0,0
Microdillus peeli,1.24,939.6364,44.2824,67.99,13.5922,453.2796,692.8991,1704.9715,1.98,190.1483,106.0496,1.39,8.35948883,5.63588096,219.5008,2.0377,1.7769,130.254,74.9828,70.1404,3154.0245,2011.4635,339.5461,4.8385,4.45,53.7819,254.6843,184.444,10.18,1.7716,24604.4105,693.5899,18197,10.21,4.07,7.14,46.83,45.03,45.93,9,13.67,9,0.06,13.69,253.22,318.7,1795.19,0,0,0
Microdipodops megacephalus,1,12.3,47.0777,72.99,15.0978,107.604,30.82,11,2,92.3628,26.4598,2,0.00439,0.0047,31.5553,3.94,2.46,65,1.421943,30.5566,1829.5763,15299.431,99.9839,1.3191,5.53,23.6511,9.3002,67.6564,98.0168,3.6345,11.2855,216340.2742,226286.76,44.5,37.13,40.82,-112.42,-121.11,-116.76,0,1.8,0,0.06,21.26,71.85,273.63,883.72,0,0,0
Microdipodops pallidus,1,13.36,44.8798,75,16.6877,115.4723,19.5,15,2,93.7866,27.7557,2,0.08030003,0.063382032,38.224,3.89,2.7588,54.831,1,30.391,2146.5699,11039.081,80.9103,1.7974,5.94,26.3279,9.7124,71.1499,90.5092,3.614,12.2304,216334.0362,31277.67,40.15,36.99,38.57,-115.68,-119.27,-117.47,0,0.93,0,-0.02,18.04,87.74,238.32,1005.07,0,0,0
Microgale brevicaudata,1,8.99,48.9009,83.8955,18.2922,197.3135,34.9488,32.486,1,99.9068,39.5354,2,0.0431978,0.02224472,75.0194,4.5,2.3547,48.924,2.281593,34.1466,1281.4321,1,198.5746,1.1456,7.11,31.698,18.1312,98.5851,75.914,2.6546,4524.582,65226.6687,137477.3,-12.3,-24.44,-18.37,50.46,43.84,47.15,2,25.2,3,0.17,132.3,222.08,1127.12,1590.76,0,0,0
Microgale cowani,1.43,12.27,43.3567,59.99,12.6564,387.4593,28.3701,16.2286,1.08,147.4986,99.4732,1,0.12838914,0.03951241,270.4852,1.1614,1.0954,104.8,2.8449,29.0611,2195.4828,2188.325,358.6409,1.2349,5.32,55.2951,13.6597,74.5077,12.5419,1.9172,9.4794,229.0905,94309.7,-13.75,-22.99,-18.37,50.47,46.79,48.63,8,47.53,11,0.18,175.91,195.89,1332.61,1577.34,0,0,0
Microgale dobsoni,1.53,36.66,69.2483,143.6048,16.1363,508.7626,41.92,44.6,1,160.2353,61.64,1,0.035855064,0.031182662,203.0034,2.66,1.6214,67.2,3.89,53.8403,955.2352,1,680.59,1.8823,5.15,27.87,350.805,146.2769,121.6866,1.7562,4532.9152,64325.6958,100500.66,-14.01,-23.12,-18.56,50.48,46.69,48.58,8,46.83,11,0.18,178.65,195.92,1337.07,1580.28,0,0,0
Microgale drouhardi,1.27,10.5,45.241,73.49,16.343,367.1034,29.5807,17.7092,1.03,127.9383,70.2615,1.24,0.046107007,0.023494062,178.5009,2.3054,1.7139,67.8704,2.272786,30.799,1639.227,599.373,320.7951,1.14,5.61,48.2931,12.9872,75.752,15.985,2.0663,10.9352,1274.5675,89926.07,-12.27,-23.07,-17.67,50.48,46.63,48.56,8,34.21,10,0.18,175.85,201.02,1353.87,1604.95,0,0,0
Microgale dryas,1.46,40,67.216,130.1949,12.8671,535.827,106.6348,3791.2645,1.9,213.403,124.0399,1.02,0.1762731,0.085056954,278.3736,1.2812,1.1486,119.4119,19.5289,66.8749,2350.1037,169.3152,492.0803,1.4475,4.44,72.3941,119.5658,141.5594,71.8941,1.4227,21.4744,260.2956,87.5,-16.47,-16.56,-16.52,49.12,49.03,49.07,16,19.99,16,0.17,201.95,196,1473.97,1562.51,0,0,0
