Species_Name,X1.1_ActivityCycle,X5.1_AdultBodyMass_g,X8.1_AdultForearmLen_mm,X13.1_AdultHeadBodyLen_mm,X2.1_AgeatEyeOpening_d,X3.1_AgeatFirstBirth_d,X18.1_BasalMetRate_mLO2hr,X5.2_BasalMetRateMass_g,X6.1_DietBreadth,X7.1_DispersalAge_d,X9.1_GestationLen_d,X12.1_HabitatBreadth,X22.1_HomeRange_km2,X22.2_HomeRange_Indiv_km2,X14.1_InterbirthInterval_d,X15.1_LitterSize,X16.1_LittersPerYear,X17.1_MaxLongevity_m,X5.3_NeonateBodyMass_g,X13.2_NeonateHeadBodyLen_mm,X21.1_PopulationDensity_n.km2,X10.1_PopulationGrpSize,X23.1_SexualMaturityAge_d,X10.2_SocialGrpSize,X24.1_TeatNumber,X25.1_WeaningAge_d,X5.4_WeaningBodyMass_g,X13.3_WeaningHeadBodyLen_mm,X5.5_AdultBodyMass_g_EXT,X16.2_LittersPerYear_EXT,X5.6_NeonateBodyMass_g_EXT,X5.7_WeaningBodyMass_g_EXT,X26.1_GR_Area_km2,X26.2_GR_MaxLat_dd,X26.3_GR_MinLat_dd,X26.4_GR_MidRangeLat_dd,X26.5_GR_MaxLong_dd,X26.6_GR_MinLong_dd,X26.7_GR_MidRangeLong_dd,X27.1_HuPopDen_Min_n.km2,X27.2_HuPopDen_Mean_n.km2,X27.3_HuPopDen_5p_n.km2,X27.4_HuPopDen_Change,X28.1_Precip_Mean_mm,X28.2_Temp_Mean_01degC,X30.1_AET_Mean_mm,X30.2_PET_Mean_mm,USA_Endangered,Extinct,IUCN_LISTED
Microhydromys musseri,1.31,82.543,58.4603,106.14,18.5794,509.6379,202.7754,394.6048,1,197.4416,67.7992,1,0.43814566,1.18857028,284.8826,1.4685,1.207,91.5525,114.6078,73.1479,1791.909,1597.5515,440.7428,1.295,4.31,79.7704,95.7261,153.6016,36.86,1.5775,4545.7192,162.4496,312.94,-3.45,-3.63,-3.54,142.52,142.34,142.43,5,5.24,5,0.18,232.49,298.25,1695,1695.5,0,0,0
Microhydromys richardsoni,1.48,10.25,46.6033,81.57,22.4204,413.2953,59.8562,44.8533,1,126.3042,52.351,1,0.0845991,0.07619387,236.8549,2.5846,1.5057,66.5604,7.4087,38.1334,2123.3518,577.919,348.8732,2.072,4,66.3402,20.4751,87.9774,31.9623,1.9474,9.4102,114.0112,1886.09,-3.24,-9.7,-6.47,147.61,138.72,143.17,1,9.97,1,0.23,263.67,206.55,1724.98,1758.75,0,0,0
Micromurexia habbema,1,46.7846,61.6799,110.07,21.1972,402.7251,71.487,66.4939,1.94,122.2745,47.0881,2,0.051573026,0.04798622,209.1066,2.4536,1.6529,54.453,7.3634,43.0128,1237.5175,335.095,316.3745,1.71,4.92,55.2786,24.5126,96.7465,40.94,1.9245,11.9716,100.425,27671.72,-3.93,-6.54,-5.23,145.38,137.73,141.56,3,16.49,4,0.14,334.09,158.86,1642.1,1643.55,0,0,0
Micromys minutus,1.69,6.99,39.1828,59,8,52,21.07,7.37,3.09,112.8405,21,1.54,28.71433248,9.66271617,21,4.92,2.5,60,0.77,32.5617,10434.7345,6691.352,37.37,6.9366,8.18,15,48.5039,114.6125,80.9572,3.9781,9162.0378,293804.0581,18108428.74,67.66,18.98,43.32,142.07,-5.72,68.17,0,119.93,0,0.02,57.71,44.32,525.92,612.57,0,0,0
Micronycteris brosseti,1.14,174.5854,74.1531,181.6699,15.3355,290.6934,138.8913,182.0501,2.96,137.0832,81.4699,1.57,0.041055216,0.022014304,148.9024,2.1259,1.8987,65.414,14.4856,57.3974,738.725,54.5369,240.4211,1,6.45,51.0242,60.8,142.519,197.5971,1.959,24592.2749,216060.4676,474381.36,5.47,-26.89,-10.7,-47.84,-75.2,-61.52,0,19.72,0,0.08,157.23,232.23,1375.49,1464.13,0,0,0
Micronycteris hirsuta,1.11,12.89,43.3,69.8223,11.347,362.8956,28.3108,25.7064,2,161.3983,114.3753,1,0.050562258,0.025208823,187.4554,0.99,1.6552,90.0956,3.1629,29.453,1060.8407,882.283,285.0195,1.2822,7.4,59.9177,13.4111,77.3037,18.2725,2.0686,24601.8605,295253.8175,4915005.84,14.24,-12.97,0.63,-55.21,-87.68,-71.45,0,17.16,0,0.11,173.72,251.33,1460.05,1618.03,0,0,0
Micronycteris homezi,1.06,312.8653,82.6331,221.7978,13.9739,350.2527,186.3146,292.0946,2.81,148.1764,85.9392,1.3,0.0388958,0.020091444,191.5869,1.9098,1.9207,75.4436,25.3617,74.2855,864.3592,10034.6867,272.3682,1.07,5.88,57.6415,88.376,186.692,297.8147,1.6433,4539.0795,238433.9358,881659.34,9.94,-1.9,4.01,-54.49,-62.92,-58.7,0,3.15,0,0.14,133.95,254.08,1479.13,1692.86,0,0,0
Micronycteris matses,2.93,988.753,115.7113,328.5822,12.4019,723.4605,558.0559,1012.5385,3.25,342.0434,138.4215,1.08,0.2146672,0.2955281,282.8202,1.7141,1.2993,166.6065,69.6443,120.3673,166.3892,110.9412,643.8161,3.7238,4.98,109.611,333.6796,227.9621,899.1451,1.3117,43239.2738,229585.5262,972.5,-5.13,-5.45,-5.29,-72.99,-73.31,-73.15,0,0.5,0,0,215.5,258,1525,1525,0,0,0
Micronycteris megalotis,1.22,6.4,33.95,95.96,10.7388,441.013,71.0529,80.0125,2,207.8724,121.66,1,0.96616218,0.35856359,283.7608,0.98,1.1304,133.312,5.3386,33.4859,1801.5767,9.5,370.7166,3.4341,6.77,65.3889,21.898,82.2662,24.0965,1.7824,33624.8565,300051.3802,11229124.06,13.37,-24.51,-5.56,-34.79,-81.35,-58.07,0,25.86,0,0.11,155.74,240.54,1309.36,1551.68,0,0,0
Micronycteris microtis,1.1,399.7622,77.8933,225.3014,17.1597,346.8855,209.5132,387.7145,2.95,141.022,75.9056,1.78,0.08653845,0.040017214,175.6418,2.5655,1.8574,75.324,22.6535,71.8101,1166.6214,537.9159,267.4071,1.01,6.64,50.6882,83.2663,192.3055,326.5822,1.6703,4531.4406,300271.5255,2664514.34,23.5,-0.32,11.59,-54.94,-105.08,-80.01,0,34.08,0,0.13,147.21,238.11,1356.39,1639.85,0,0,0
